,key,handstrat,participant,melody,sex,age,score,genre,proc,qommax,qommin,qomav,handdistmax,handdistmin,handdistav,zmax,zmin,distlh,distrh,melcat
134,134,5,8,13,F,20,262,vo,norm,2553.65522766,11.8321595662,1840.86215375,865.205857666,350.654367924,609.939046327,1749.83913425,812.761209883,2913.67911129,3157.02078941,13
135,135,1,6,7,M,37,973,jo,norm,1964.11205764,11.8321595662,1669.44968823,949.948110832,486.32757196,748.757935837,1575.12092874,833.789758607,563.155437438,3480.4620438,7
136,136,3,10,19,F,24,438,im,syn,1812.50952567,11.8321595662,1654.36027475,574.734980195,302.469437403,396.774737497,1241.93652315,794.514565866,2075.87430142,2248.74537188,3
137,137,1,20,26,F,20,499,sc,syn,1963.4154087,11.8321595662,1737.58531191,845.999167852,398.901136139,663.405297281,1428.28284513,777.877323759,2095.18563902,3312.20759037,10
138,138,3,2,13,F,53,989,vo,norm,2520.28608837,11.8321595662,2195.41876475,756.529133965,568.935798708,707.35677956,1708.93351291,720.934241645,3428.7509951,3752.30846855,13
139,139,3,2,28,F,53,989,sc,syn,2913.29060385,11.8321595662,2409.94355332,1058.22082963,559.738293394,906.647213848,2052.85108766,823.184352559,3207.98500589,3523.99768729,12
140,140,3,10,5,F,24,438,jo,norm,2491.09040654,11.8321595662,1941.45135109,715.299478139,484.01008108,578.243030669,1658.44327426,705.212784883,3436.43875566,3537.42548527,5
141,141,3,9,3,F,31,913,im,norm,1958.75890851,11.8321595662,1692.10743451,973.608632669,300.153586731,754.946244345,1321.39317669,755.868984594,2734.24790925,3338.57082951,3
142,142,3,10,14,F,24,438,vo,norm,2486.4413059,11.8321595662,1921.00274045,991.347381388,427.26398939,745.914313533,1668.30760766,772.040145176,3735.56358254,4319.80788632,14
143,143,4,2,32,F,53,989,vo,syn,2976.90811772,11.8321595662,2844.59142506,402.892542528,114.723888377,228.17927258,2123.6250981,1776.111,1612.41031764,2084.40641268,16
144,144,2,18,28,M,30,992,sc,syn,2401.98110697,11.8321595662,1904.31524859,1080.63180296,162.073372606,756.323977961,1820.53043086,788.110096231,2698.70936471,4119.10637358,12
145,145,2,18,17,M,30,992,im,syn,2185.21724033,11.8321595662,1931.43592777,973.34531962,194.447790777,651.589797602,1520.79163266,849.090215425,1907.4124318,3586.46099296,1
146,146,2,18,1,M,30,992,im,norm,2079.45912413,11.8321595662,1702.50595698,944.183345606,165.415285857,680.73132498,1608.059,799.232484743,1393.29879693,5032.82089635,1
147,147,3,1,15,M,23,465,vo,norm,2451.05937047,11.8321595662,2261.91715012,1128.6510658,270.121021106,692.84391087,1560.09176318,1067.3812861,3174.48409833,3025.27003292,15
148,148,1,6,31,M,37,973,vo,syn,2052.23637129,11.8321595662,1700.72275455,990.371008778,475.875386591,706.784315851,1642.42237487,866.268024342,263.103623698,2857.67794578,15
149,149,6,28,24,F,41,662,jo,syn,1980.18167301,11.8321595662,1628.27192465,567.498565803,361.432231532,431.797747963,1379.24255216,762.887078343,2476.21285864,2524.13031828,8
150,150,1,20,17,F,20,499,im,syn,1812.45845035,11.8321595662,1689.27566531,918.92311505,591.049352888,807.887481226,1492.62583994,756.443594216,230.458106623,3192.45505375,1
