	key	handstrat	participant	melody	sex	age	score	genre	proc	qommax	qommin	qomav	handdistmax	handdistmin	handdistav	zmax	zmin	distlh	distrh
95	95	2	1	12	M	23	465	sc	norm	2093.4447228815	11.8321595662	1992.6529121	576.7244252962	128.8817706465	216.1030534204	1296.00813982	912.842958237	1569.6620908149	1924.6406795158
96	96	6	1	26	M	23	465	sc	syn	2114.1814716972	11.8321595662	1844.7994798621	463.5062374715	125.9542413498	259.6438732654	1368.01197354	846.780497105	2006.8873498524	2184.9942249425
97	97	2	20	3	F	20	499	im	norm	1867.6649968118	11.8321595662	1765.1770805789	606.7958229693	215.4320463413	351.3253528185	1326.33338764	935.570268245	1231.8910203768	1135.2664376841
98	98	3	2	11	F	53	989	sc	norm	3019.112358429	11.8321595662	2631.0018867673	758.9273496715	284.4951926977	394.3635761032	2110.26015331	1031.61914624	2952.3500148938	3165.6919328901
99	99	6	9	31	F	31	913	vo	syn	2306.6601486841	11.8321595662	2072.8265778723	470.1920938614	104.255802459	281.8599291089	1617.24388919	735.687201999	4101.2267928595	4823.4197366902
100	100	6	28	7	F	41	662	jo	norm	2102.1358294806	11.8321595662	1576.112282155	839.5101503496	653.4448994657	722.3317381317	1550.8409951	749.519362156	3057.8631777985	2148.6962538434
101	101	3	3	7	F	29	972	jo	norm	1814.9120272094	11.8321595662	1645.7992858464	315.8366771428	124.5002468929	183.9723132666	1275.90009589	1055.75833479	847.627897155	918.7251788246
102	102	2	18	8	M	30	992	jo	norm	2250.524301529	11.8321595662	1921.2510042678	1079.3714377385	266.4898367749	718.7877182542	1623.415	810.159618294	2457.5533421776	3628.8170721347
103	103	3	2	8	F	53	989	jo	norm	2133.8550398605	11.8321595662	1763.6416623426	1125.2161566246	615.4625726941	995.0372857385	1374.03748911	836.659368782	2436.3767927815	2591.4941128726
104	104	6	10	21	F	24	438	jo	syn	1734.4540879423	11.8321595662	1595.4317394415	586.5428297904	339.2604306158	441.2183082755	1130.64588057	775.487936589	1224.3238869564	1181.6029770316
105	105	4	3	15	F	29	972	vo	norm	2237.9576401507	11.8321595662	1885.5908993467	556.84943855	129.297472139	220.5989952214	1501.7326857	986.524932311	2070.3215785045	2221.4329217856
106	106	4	3	32	F	29	972	vo	syn	2317.6704537615	11.8321595662	2078.4505402757	647.2530037774	111.0345427125	248.9152987244	1600.54240913	724.704560703	3774.6357589952	2267.3251807252
107	107	3	2	26	F	53	989	sc	syn	2848.2922128635	11.8321595662	2519.412030611	1311.8445980771	466.9603994139	874.7244337613	1990.59394831	811.971536111	3388.3568490946	4082.342708075
108	108	1	2	6	F	53	989	jo	norm	2137.8076025182	11.8321595662	1983.3062980564	637.7775051098	233.6459872252	512.21952961	1555.88150731	833.952942234	1975.5595248668	2554.0651619
109	109	2	28	18	F	41	662	im	syn	2177.6062662084	11.8321595662	1760.9402921694	1685.8574297746	139.4554744924	721.33661061	1632.64445239	-151.294950851	9130.1883300924	3758.0570150612
110	110	6	9	24	F	31	913	jo	syn	2373.6414307776	11.8321595662	1741.0943721367	628.9290916696	220.7277487955	328.3580848698	1702.92407052	682.403631178	4061.553339005	5279.3137545403
111	111	6	28	8	F	41	662	jo	norm	2046.1610178989	11.8321595662	1744.7639916896	972.3480485299	418.5869362029	738.7380654152	1607.8864232	769.405448161	3604.7625426361	5046.6416754643
112	112	6	1	6	M	23	465	jo	norm	2145.0620054008	11.8321595662	2012.9576468927	573.7707960512	119.5102842644	210.3438495027	1436.93359867	925.475741205	1989.8010104562	2232.7443000466
113	113	4	9	16	F	31	913	vo	norm	3012.5530204914	11.8321595662	2182.0598041448	2273.9894504481	222.2072378403	562.3438567772	2202.19303083	-240.715245613	16821.8476494652	4360.6638216501
114	114	4	1	22	M	23	465	jo	syn	2155.3173087713	11.8321595662	1937.4483205522	604.5386731578	140.9399394456	255.435906589	1435.44774497	796.181552258	2843.4223328595	3426.8598798073
115	115	3	8	15	F	20	262	vo	norm	2323.3816502526	11.8321595662	1950.3362260326	731.9172111812	259.170549813	441.2441085668	1631.43343675	773.4301085	3668.2134990799	4239.4504084112
116	116	4	9	32	F	31	913	vo	syn	2934.7074195805	11.8321595662	2367.5222649643	899.2352725386	172.3135406494	300.2745910906	2031.04872784	765.553828356	4997.4649799796	5470.239799946
117	117	3	1	19	M	23	465	im	syn	2841.8872123107	11.8321595662	2325.5663633607	1009.6341267674	136.11162726	583.6877402795	1956.95934992	781.043847961	5011.8217041552	4912.0151153286
118	118	1	6	21	M	37	973	jo	syn	2260.441037611	11.8321595662	1988.639241511	1157.8225333664	535.0079790868	983.325608082	1918.85926272	856.769849572	310.5625296354	3555.2943847115
119	119	3	28	16	F	41	662	vo	norm	2599.3925554973	11.8321595662	1600.3029227437	850.1530179703	461.395434562	553.1368229601	1804.42954218	8.3337145328	3066.8018558873	7165.0560134468
120	120	6	10	26	F	24	438	sc	syn	2064.0274736125	11.8321595662	1773.3767187534	642.2733740505	187.0466026816	358.6685727742	1320.97035075	672.606039201	3560.6973688304	4839.4838995015
121	121	3	10	17	F	24	438	im	syn	2575.7415300382	11.8321595662	1980.0152984539	658.8737700037	402.1224135144	538.4749657566	1820.41848641	776.697103755	2742.6856428936	2904.0161511714
122	122	1	6	13	M	37	973	vo	norm	2089.6652931652	11.8321595662	1713.1619023804	1059.9290980595	412.4494521402	748.4762930245	1759.30322153	839.251269141	671.9261014264	3486.8900600147
123	123	3	10	2	F	24	438	im	norm	2310.8652121436	11.8321595662	1731.1569107173	1067.7933687789	358.2028811279	647.9182222798	1538.66101459	768.631235128	3303.0465639748	3388.0002183237
124	124	3	10	16	F	24	438	vo	norm	2424.7550702462	11.8321595662	2024.3368141285	1043.3847725824	593.774104223	940.5465385122	1641.58036863	783.802969795	2521.3766514574	2806.1138554316
125	125	1	6	27	M	37	973	sc	syn	2085.0866040796	11.8321595662	1791.283550861	1144.2251492728	487.990740749	893.2626138116	1735.80335532	850.53542122	198.3331957992	2578.1054306263
126	126	2	18	5	M	30	992	jo	norm	2057.64968092	11.8321595662	1785.6810004634	944.5325844961	324.9085537914	702.5776946105	1448.16788544	838.272193285	1452.8198235729	2910.2718810248
